vorname,anzahl,geschlecht,position
Ali,29,m,1
Marie,27,w,2
Emma,27,w,1
Sophie,25,w,2
Emilia,18,w,1
Adam,17,m,1
Noah,17,m,1
Mia,16,w,1
Elias,16,m,1
Maximilian,16,m,1
Emil,15,m,1
Lina,14,w,1
Leon,14,m,1
Alexander,13,m,2
Maria,13,w,2
Anna,13,w,1
Hannah,13,w,1
Johanna,13,w,1
Ahmad,13,m,1
Ben,13,m,1
Oskar,13,m,1
Mila,12,w,1
Mira,12,w,1
Amir,12,m,1
Paul,12,m,1
Sophie,11,w,1
Mohammad,11,m,1
Ali,10,m,2
Charlotte,10,w,1
Ella,10,w,1
Mina,10,w,1
Jakob,10,m,1
Sophia,10,w,1
Joshua,10,m,1
Liam,10,m,1
Luca,10,m,1
Ömer,10,m,1
Lara,9,w,1
Lea,9,w,1
David,9,m,1
Jonas,9,m,1
Lukas,9,m,1
Emilia,8,w,2
Hanna,8,w,1
Helena,8,w,1
Leonie,8,w,1
Lilly,8,w,1
Elyas,8,m,1
Erik,8,m,1
Felix,8,m,1
Hassan,8,m,1
Jonathan,8,m,1
Lennard,8,m,1
Mohamad,8,m,1
Muhammed,8,m,1
Yusuf,8,m,1
Noah,7,m,2
Valentin,7,m,2
Charlotte,7,w,2
Aylin,7,w,1
Clara,7,w,1
Elena,7,w,1
Laura,7,w,1
Lena,7,w,1
Leni,7,w,1
Maria,7,w,1
Marie,7,w,1
Meryem,7,w,1
Sofia,7,w,1
Finn,7,m,1
Jannis,7,m,1
Leo,7,m,1
Luis,7,m,1
Malik,7,m,1
Matteo,7,m,1
Max,7,m,1
Samuel,7,m,1
Theo,7,m,1
Ahmad,6,m,2
Elias,6,m,2
Elisabeth,6,w,2
Joel,6,m,2
Johanna,6,w,2
Luca,6,m,2
Lina,6,w,2
Michael,6,m,2
Luise,6,w,2
Antonia,6,w,1
Ava,6,w,1
Azra,6,w,1
Emily,6,w,1
Leyla,6,w,1
Liya,6,w,1
Maja,6,w,1
Malina,6,w,1
Mathilda,6,w,1
Alexander,6,m,1
Maya,6,w,1
Aras,6,m,1
Merle,6,w,1
Daniel,6,m,1
Nora,6,w,1
Emir,6,m,1
Gabriel,6,m,1
Hamza,6,m,1
Henry,6,m,1
Ilyas,6,m,1
Julian,6,m,1
Louis,6,m,1
Mika,6,m,1
Mohamed,6,m,1
Tom,6,m,1
Benjamin,5,m,2
Helene,5,w,2
Can,5,m,2
Nur,5,w,2
Daniel,5,m,2
Maximilian,5,m,2
Peter,5,m,2
Samuel,5,m,2
Alina,5,w,1
Amelie,5,w,1
Amira,5,w,1
Elif,5,w,1
Elin,5,w,1
Elina,5,w,1
Erva,5,w,1
Fatima,5,w,1
Ida,5,w,1
Isabella,5,w,1
Anton,5,m,1
Jasmin,5,w,1
Bruno,5,m,1
Lia,5,w,1
Enes,5,m,1
Lisa,5,w,1
Eymen,5,m,1
Lotta,5,w,1
Fritz,5,m,1
Lucy,5,w,1
Henri,5,m,1
Malia,5,w,1
Hussein,5,m,1
Mariam,5,w,1
Ibrahim,5,m,1
Marlene,5,w,1
Jayden,5,m,1
Matilda,5,w,1
Karim,5,m,1
Paula,5,w,1
Kerem,5,m,1
Sara,5,w,1
Kilian,5,m,1
Tuana,5,w,1
Leonard,5,m,1
Mahdi,5,m,1
Milan,5,m,1
Muhammad,5,m,1
Niklas,5,m,1
Philipp,5,m,1
Raphael,5,m,1
Vincent,5,m,1
Youssef,5,m,1
Yunus,5,m,1
Elena,4,w,2
Florentina,4,w,2
Josephine,4,w,2
Matilda,4,w,2
Andreas,4,m,2
Meryem,4,w,2
Asaf,4,m,2
Mia,4,w,2
Emil,4,m,2
Sofia,4,w,2
Eymen,4,m,2
Sophia,4,w,2
Gabriel,4,m,2
Su,4,w,2
Karl,4,m,2
Leon,4,m,2
Liam,4,m,2
Luis,4,m,2
Miguel,4,m,2
Theodor,4,m,2
Aleyna,4,w,1
Elisa,4,w,1
Enna,4,w,1
Greta,4,w,1
Julia,4,w,1
Juna,4,w,1
Klara,4,w,1
Laia,4,w,1
Lorin,4,w,1
Luise,4,w,1
Adrian,4,m,1
Luna,4,w,1
Benjamin,4,m,1
