name	count	zeros	zeros%	min	max	mean	variance	stdev	uniq~	uniq%	entropy
#	352										
001	352	0	0.0	1	1	1	0.0	0.0	350	99.6	8.5/8.5
003	352	0	0.0	1	1	1	0.0	0.0	1	0.3	0.0/8.5
005	352	0	0.0	1	1	1	0.0	0.0	332	94.4	8.3/8.4
007	28	324	92.0	0	1	0.0795454545454545	0.1	0.3	3	10.7	0.4/8.5
008	352	0	0.0	1	1	1	0.0	0.0	327	93.0	8.3/8.4
010a	42	310	88.1	0	1	0.119318181818182	0.1	0.3	42 (!)	100.1 (!)	1.2/8.5 (!)
0152	192	219	62.2	0	2	0.545454545454545	0.6	0.8	2	1.0	1.0/8.7
015a	192	219	62.2	0	2	0.545454545454545	0.6	0.8	186	96.9	4.5/8.7
0162	324	146	41.5	0	5	0.920454545454545	1.0	1.0	3	0.9	1.6/8.9
016a	324	146	41.5	0	5	0.920454545454545	1.0	1.0	303	93.8	6.5/8.8
020a	428	6	1.7	0	4	1.21590909090909	0.3	0.5	369	86.2	8.5/8.6
020c	234	151	42.9	0	2	0.664772727272727	0.4	0.6	148	63.5	4.9/8.4
020z	11	341	96.9	0	1	0.03125	0.0	0.2	10	90.9	0.3/8.5
0242	13	339	96.3	0	1	0.0369318181818182	0.0	0.2	2	15.4	0.2/8.5
024a	199	218	61.9	0	4	0.565340909090909	0.8	0.9	199 (!)	100.1 (!)	4.6/8.7 (!)
028a	9	343	97.4	0	1	0.0255681818181818	0.0	0.2	10 (!)	111.1 (!)	0.3/8.5 (!)
035a	822	8	2.3	0	9	2.33522727272727	1.7	1.3	786	95.7	9.6/9.6
040a	352	0	0.0	1	1	1	0.0	0.0	1	0.3	0.0/8.5
040b	352	0	0.0	1	1	1	0.0	0.0	1	0.3	0.0/8.5
040c	352	0	0.0	1	1	1	0.0	0.0	1	0.3	0.0/8.5
040e	352	0	0.0	1	1	1	0.0	0.0	1	0.3	0.0/8.5
041a	353	3	0.9	0	2	1.00284090909091	0.0	0.1	3	0.8	1.1/8.5
041h	39	313	88.9	0	1	0.110795454545455	0.1	0.3	2	5.1	0.5/8.5
044a	559	159	45.2	0	8	1.58806818181818	2.3	1.5	17	3.0	2.9/9.5
044c	7	345	98.0	0	1	0.0198863636363636	0.0	0.1	4	57.1	0.2/8.5
050a	129	223	63.4	0	1	0.366477272727273	0.2	0.5	27	20.9	1.8/8.5
060a	4	348	98.9	0	1	0.0113636363636364	0.0	0.1	3	75.0	0.1/8.5
082a	269	163	46.3	0	5	0.764204545454545	0.8	0.9	55	20.5	3.3/8.8
0842	1000	21	6.0	0	7	2.84090909090909	2.8	1.7	11	1.1	2.1/10.0
084a	1004	21	6.0	0	7	2.85227272727273	2.9	1.7	95	9.5	4.2/10.0
084q	71	281	79.8	0	1	0.201704545454545	0.2	0.4	2	2.8	0.7/8.5
088a	24	328	93.2	0	1	0.0681818181818182	0.1	0.3	24 (!)	100.1 (!)	0.7/8.5 (!)
1000	95	304	86.4	0	2	0.269886363636364	0.5	0.7	48	50.6	1.9/8.6
